"Verwendbarkeit des Moduls für andereStudiengänge:",Pflichtmodul im Anwendungsfach Romanistik,,,
Häufigkeit des Angebots:,jährlich im SoSe,,,
Dauer des Moduls:,einsemestrig,,,
Studiennachweise /,Teilnahmenachweis:,"Regelmäßige, aktiveTeilnahme.",,
ggf. als Prüfungsvorleistungen:,Leistungsnachweis:,"Benoteter Test /Portfolio imVertiefungsseminar I(Sprachwissenschaft) inder studierten Sprache.",,
Lehr- / Lernform:,Vorlesung mit Übung,,,
Modulprüfung:,Form / Dauer / ggf. Inhalt:,,,
Modulabschlussprüfung bestehend aus:,"Je nach gewählter Veranstaltung ein benoteterSprachtest (60–90 Minuten) oder eine Klausur (90Minuten). Voraussetzungen für die Vergabe der CP:Bestandene Modulabschlussprüfung.",,,
Zugehörige Veranstaltungen:,,,,
Veranstaltungsname,Form,SWS,CP,Sprache
"Vertiefungsseminar I (Sprachwissenschaft) in derstudierten Sprache",Seminar,2S,4,DE
Compétences intégrées 2 (Niveau B2.2) (Französisch),Seminar,2S,3,FR
Análisis de textos (Niveau B2.1) (Spanisch),Seminar,2S,3,ES
Analisi testuale contrastiva (Niveau B2.1) (Italienisch),Seminar,2S,3,IT
